Most Recent Health Inspection More Than 2 Years Ago,Overall Rating,Health Inspection Rating,Staffing Rating,RN Staffing Rating,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,performance_id
False,3.0,3.0,3.0,4.0,75.333,0,0,0,$0.00,0,0,78
False,4.0,3.0,2.0,3.0,57.333,2,20,0,$0.00,0,0,79
False,2.0,3.0,1.0,2.0,56.0,0,3,0,$0.00,0,0,80
False,5.0,5.0,2.0,3.0,21.333,1,4,0,$0.00,0,0,81
False,1.0,1.0,2.0,2.0,171.167,9,4,0,$0.00,0,0,82
False,1.0,1.0,4.0,5.0,257.333,14,9,2,$31005.00,2,4,83
False,5.0,4.0,3.0,3.0,28.0,0,0,0,$0.00,0,0,84
False,3.0,4.0,4.0,4.0,50.0,0,0,0,$0.00,0,0,85
False,5.0,4.0,5.0,5.0,50.667,1,1,0,$0.00,0,0,86
False,4.0,4.0,4.0,4.0,41.333,1,2,0,$0.00,0,0,87
False,4.0,4.0,4.0,4.0,12.667,0,0,0,$0.00,0,0,88
False,1.0,1.0,2.0,3.0,234.833,2,4,1,$72280.00,1,2,89
False,4.0,3.0,4.0,4.0,79.333,0,1,0,$0.00,0,0,90
False,2.0,1.0,4.0,5.0,139.167,7,11,1,$2730.00,1,2,91
False,1.0,1.0,4.0,4.0,195.833,4,9,2,$142740.00,2,4,92
False,1.0,1.0,3.0,3.0,185.167,6,15,1,$58504.00,1,2,93
False,1.0,1.0,3.0,4.0,243.667,2,5,1,$4063.00,1,2,94
False,1.0,1.0,3.0,4.0,188.667,3,7,0,$0.00,0,0,95
False,1.0,1.0,3.0,2.0,192.667,2,4,2,$77558.00,1,3,96
False,4.0,3.0,4.0,4.0,68.0,2,0,0,$0.00,0,0,97
False,2.0,2.0,3.0,3.0,113.333,7,6,0,$0.00,0,0,98
False,3.0,2.0,5.0,5.0,102.0,2,8,2,$27650.00,1,3,99
False,5.0,4.0,5.0,5.0,50.0,3,1,0,$0.00,0,0,100
False,3.0,3.0,3.0,5.0,74.667,2,5,0,$0.00,0,0,101
False,5.0,5.0,,,6.0,0,0,0,$0.00,0,0,102
False,5.0,5.0,5.0,5.0,20.0,0,2,0,$0.00,0,0,103
False,4.0,3.0,4.0,5.0,58.0,0,0,0,$0.00,0,0,104
False,4.0,3.0,4.0,3.0,51.333,0,0,0,$0.00,0,0,105
False,4.0,3.0,,,38.667,0,2,0,$0.00,0,0,106
False,2.0,2.0,3.0,3.0,60.667,0,4,0,$0.00,0,0,107
False,1.0,1.0,3.0,3.0,245.667,1,1,1,$54860.00,0,1,108
False,5.0,5.0,4.0,3.0,5.333,0,0,0,$0.00,0,0,109
False,3.0,3.0,3.0,3.0,37.333,1,1,0,$0.00,0,0,110
False,4.0,4.0,2.0,2.0,11.333,1,0,0,$0.00,0,0,111
False,2.0,2.0,2.0,3.0,48.667,1,3,0,$0.00,0,0,112
False,3.0,4.0,3.0,3.0,22.0,0,0,0,$0.00,0,0,113
False,3.0,3.0,3.0,4.0,29.333,0,0,0,$0.00,0,0,114
False,5.0,3.0,4.0,4.0,26.0,2,0,2,$27500.00,0,2,115
False,1.0,2.0,1.0,1.0,48.0,0,3,0,$0.00,0,0,116
False,5.0,5.0,3.0,3.0,9.333,1,3,0,$0.00,0,0,117
False,2.0,3.0,3.0,3.0,32.667,1,1,0,$0.00,0,0,118
False,1.0,3.0,1.0,2.0,40.667,0,2,0,$0.00,0,0,119
False,5.0,5.0,5.0,5.0,4.8,0,0,0,$0.00,0,0,120
False,,,,,,0,0,0,$0.00,0,0,121
False,5.0,5.0,,,2.667,0,0,0,$0.00,0,0,122
False,3.0,2.0,4.0,4.0,39.333,0,3,0,$0.00,0,0,123
False,2.0,2.0,4.0,5.0,49.333,0,3,0,$0.00,1,1,124
False,3.0,3.0,3.0,3.0,30.0,0,7,0,$0.00,0,0,125
False,4.0,5.0,5.0,5.0,7.333,0,3,0,$0.00,0,0,126
False,2.0,3.0,1.0,1.0,21.333,0,5,0,$0.00,0,0,127
False,1.0,1.0,3.0,3.0,56.833,0,4,1,$145893.00,0,1,128
False,2.0,2.0,3.0,3.0,36.667,0,4,0,$0.00,0,0,129
False,3.0,3.0,3.0,3.0,32.0,0,5,0,$0.00,0,0,130
False,1.0,2.0,1.0,2.0,42.667,0,1,1,$28503.00,0,1,131
False,3.0,4.0,3.0,3.0,18.667,0,0,0,$0.00,0,0,132
False,3.0,3.0,3.0,2.0,20.667,0,2,0,$0.00,1,1,133
False,4.0,4.0,2.0,2.0,20.667,0,1,0,$0.00,0,0,134
False,5.0,4.0,2.0,3.0,15.333,0,2,0,$0.00,0,0,135
False,3.0,3.0,3.0,3.0,21.333,2,5,0,$0.00,0,0,136
False,3.0,4.0,1.0,2.0,10.667,0,2,0,$0.00,0,0,137
False,1.0,2.0,3.0,3.0,36.667,0,1,0,$0.00,0,0,138
False,2.0,3.0,1.0,1.0,30.0,0,2,0,$0.00,0,0,139
False,2.0,1.0,4.0,3.0,74.0,0,2,1,$4095.00,1,2,140
False,3.0,3.0,3.0,2.0,28.667,0,0,1,$13163.00,0,1,141
False,2.0,2.0,3.0,2.0,48.0,0,5,0,$0.00,0,0,142
False,1.0,1.0,4.0,3.0,60.333,0,0,1,$5850.00,0,1,143
False,1.0,3.0,1.0,1.0,24.0,0,5,0,$0.00,0,0,144
False,4.0,4.0,3.0,3.0,17.333,0,1,0,$0.00,0,0,145
False,2.0,2.0,2.0,1.0,46.0,0,4,0,$0.00,0,0,146
False,2.0,3.0,3.0,2.0,20.667,0,1,0,$0.00,0,0,147
False,2.0,3.0,1.0,1.0,28.0,0,0,0,$0.00,0,0,148
False,3.0,4.0,3.0,2.0,16.0,0,0,0,$0.00,0,0,149
False,1.0,2.0,2.0,1.0,50.0,0,0,0,$0.00,0,0,150
False,3.0,5.0,1.0,2.0,4.0,0,0,0,$0.00,0,0,151
False,5.0,5.0,3.0,4.0,5.333,0,5,0,$0.00,0,0,152
False,2.0,3.0,3.0,2.0,24.667,0,0,0,$0.00,0,0,153
False,2.0,3.0,3.0,3.0,24.667,0,4,0,$0.00,0,0,154
False,4.0,4.0,3.0,2.0,18.667,0,4,0,$0.00,0,0,155
False,2.0,3.0,1.0,2.0,28.667,0,4,0,$0.00,0,0,156
False,3.0,3.0,4.0,4.0,20.667,0,2,0,$0.00,0,0,157
False,1.0,1.0,3.0,3.0,88.667,0,7,0,$0.00,0,0,158
False,4.0,5.0,5.0,5.0,0.0,0,0,0,$0.00,0,0,159
False,4.0,3.0,4.0,4.0,44.667,7,0,0,$0.00,0,0,160
False,4.0,3.0,5.0,5.0,22.0,0,0,0,$0.00,0,0,161
False,5.0,5.0,4.0,5.0,3.333,0,0,0,$0.00,0,0,162
False,5.0,4.0,5.0,5.0,12.0,1,0,0,$0.00,0,0,163
False,5.0,3.0,4.0,4.0,16.667,0,0,0,$0.00,0,0,164
False,3.0,2.0,4.0,5.0,28.333,2,2,0,$0.00,0,0,165
False,4.0,2.0,4.0,5.0,75.333,3,15,0,$0.00,0,0,166
False,2.0,1.0,4.0,4.0,147.667,9,21,0,$0.00,0,0,167
False,1.0,1.0,1.0,2.0,111.0,9,9,0,$0.00,1,1,168
False,3.0,2.0,5.0,5.0,88.667,14,4,0,$0.00,0,0,169
False,5.0,5.0,4.0,4.0,15.333,0,0,0,$0.00,0,0,170
False,5.0,4.0,5.0,5.0,31.333,9,1,0,$0.00,0,0,171
False,2.0,1.0,4.0,4.0,99.333,13,14,0,$0.00,0,0,172
False,1.0,1.0,3.0,3.0,108.0,6,3,1,$226422.00,0,1,173
False,2.0,2.0,3.0,3.0,75.333,8,2,1,$1235.00,0,1,174
False,3.0,2.0,3.0,3.0,66.5,6,7,0,$0.00,0,0,175
False,1.0,1.0,2.0,3.0,164.667,12,12,0,$0.00,0,0,176
False,4.0,3.0,2.0,1.0,52.0,8,29,0,$0.00,0,0,177
False,1.0,1.0,4.0,4.0,265.833,30,37,1,$73809.00,2,3,178
False,2.0,2.0,3.0,4.0,69.333,2,21,0,$0.00,1,1,179
False,2.0,2.0,2.0,2.0,88.0,2,34,0,$0.00,0,0,180
False,4.0,4.0,3.0,4.0,21.333,3,2,0,$0.00,0,0,181
False,5.0,5.0,3.0,5.0,6.0,0,3,0,$0.00,0,0,182
False,3.0,3.0,3.0,3.0,57.333,5,4,0,$0.00,0,0,183
False,2.0,2.0,3.0,3.0,58.667,4,3,0,$0.00,0,0,184
False,2.0,1.0,4.0,4.0,93.333,0,0,0,$0.00,0,0,185
False,5.0,4.0,4.0,4.0,19.333,3,2,0,$0.00,0,0,186
False,3.0,3.0,2.0,4.0,40.667,2,2,0,$0.00,0,0,187
False,5.0,5.0,4.0,5.0,11.333,0,0,0,$0.00,0,0,188
False,5.0,3.0,4.0,4.0,36.667,12,2,0,$0.00,0,0,189
False,2.0,2.0,3.0,3.0,85.333,4,8,0,$0.00,0,0,190
False,5.0,5.0,5.0,5.0,5.333,0,0,0,$0.00,0,0,191
False,4.0,3.0,3.0,3.0,52.0,1,1,0,$0.00,0,0,192
False,3.0,2.0,4.0,4.0,62.667,8,5,0,$0.00,0,0,193
False,4.0,3.0,3.0,4.0,56.0,20,6,0,$0.00,0,0,194
False,5.0,5.0,4.0,3.0,12.0,1,0,0,$0.00,0,0,195
False,4.0,4.0,4.0,4.0,30.0,1,14,0,$0.00,0,0,196
False,4.0,4.0,2.0,3.0,26.667,1,0,0,$0.00,0,0,197
False,5.0,4.0,4.0,3.0,27.333,0,1,0,$0.00,0,0,198
False,1.0,1.0,2.0,3.0,178.5,11,8,1,$4778.00,0,1,199
False,1.0,3.0,1.0,1.0,56.0,5,2,0,$0.00,0,0,200
False,5.0,4.0,4.0,5.0,28.0,0,3,0,$0.00,0,0,201
False,1.0,1.0,2.0,2.0,140.0,4,8,1,$5818.00,0,1,202
False,4.0,4.0,3.0,3.0,35.333,2,0,0,$0.00,0,0,203
False,5.0,5.0,,,11.333,6,2,0,$0.00,0,0,204
False,5.0,5.0,5.0,5.0,4.667,0,0,0,$0.00,0,0,205
False,5.0,5.0,5.0,5.0,4.0,0,0,0,$0.00,0,0,206
False,3.0,2.0,2.0,2.0,58.0,11,9,0,$0.00,0,0,207
False,4.0,4.0,5.0,5.0,21.333,0,0,0,$0.00,0,0,208
False,4.0,3.0,3.0,5.0,45.333,2,4,0,$0.00,0,0,209
False,2.0,1.0,4.0,4.0,118.667,1,5,0,$0.00,0,0,210
False,3.0,4.0,4.0,5.0,34.0,14,4,0,$0.00,0,0,211
